ID,CREATE_TIME,CREATE_USER,CREATE_USERIP,DELETED,UPDATE_TIME,UPDATE_USER,UPDATE_USERIP,VERSION,AUTO_ID,COMMITMENT_DISCOUNT,DISCOUNT_BILLING_CODE,DISCOUNT_STATUS,PERIOD_END,PERIOD_START,CONTRACT_DETAIL_PRICE_ID,MIG_STATUS,MIG_DATE,AMOUNT,CALCULATION_TYPE,BULK_BENEFIT_ID,NONCOMMITMENT_DISCOUNT_ID,DISCOUNT_START_DATE,DISCOUNT_END_DATE
080E40NS-1019-2345-3B50-908O340613Z4,2025-05-26 16:36:29,SYSTEM,864.1.0.7,0,2025-05-26 16:36:32,SYSTEM,105.5.7.4,1,9632918885,YES,832412277,ACTIVE,1.0,1.0,A9B82A70-D11E-4180-BDEB-46C18EE99204,,,0.0,NET,,,,
U4571Y0X-V335-9ZXM-S176-312L268V7OP6,2025-05-26 16:36:29,SYSTEM,782.2.7.8,0,2025-05-26 16:36:29,SYSTEM,733.4.9.1,0,6980893901,YES,,ACTIVE,1.0,1.0,65E34414-FD80-4891-B957-B9FABFDB5287,,,0.0,NET,,,,
530B6TB9-5R66-32P2-I764-6YGD78473D61,2025-05-26 16:36:29,SYSTEM,495.1.4.2,0,2025-05-26 16:36:29,SYSTEM,334.6.9.3,0,3054557841,YES,,ACTIVE,12.0,2.0,65E34414-FD80-4891-B957-B9FABFDB5287,,,460.0,NET,,,,
3I8121UI-5K16-45UB-V5UT-NQ7X68D9X880,2025-05-26 16:39:07,SYSTEM,220.6.4.4,0,2025-05-26 16:39:07,SYSTEM,389.1.2.7,0,6096270459,YES,,ACTIVE,1.0,1.0,231C7D88-3EFA-4521-9EF3-71416E135C9A,,,0.0,NET,,,,
BGQ538A2-Q44Y-7902-W294-0G1925O57S38,2025-05-26 16:39:07,SYSTEM,656.7.7.0,0,2025-05-26 16:39:07,SYSTEM,712.7.7.9,0,6938391616,YES,,ACTIVE,99.0,2.0,231C7D88-3EFA-4521-9EF3-71416E135C9A,,,41.666667,NET,,,,
D2Q1O017-DQ85-783J-01A8-12SSR82ER37I,2025-05-26 16:39:07,SYSTEM,280.7.9.5,0,2025-05-26 16:39:07,SYSTEM,504.2.5.0,0,9371721554,YES,,ACTIVE,1.0,1.0,7BAC05A1-2DF8-40CC-9ADE-B123EA29A94F,,,346.153846,,,,,
C16TE997-GM6X-32P6-Q0D5-07R83O21EREV,2025-05-26 16:39:07,SYSTEM,630.9.1.4,0,2025-05-26 16:39:07,SYSTEM,602.4.7.4,0,8351014284,YES,,ACTIVE,1.0,1.0,EA0113FD-EF4D-4C03-9EAD-5102D93E0E06,,,0.0,NET,,,,
98X373D1-A89I-3F91-76UA-Y11868DQ097W,2025-05-26 16:39:07,SYSTEM,768.2.9.4,0,2025-05-26 16:39:07,SYSTEM,613.2.7.0,0,8345287948,YES,,ACTIVE,99.0,2.0,EA0113FD-EF4D-4C03-9EAD-5102D93E0E06,,,41.666667,NET,,,,
D0W78WX6-58YL-3PVE-YRW9-8II24Q7M4046,2025-05-26 16:11:12,SYSTEM,528.3.8.3,0,2025-05-26 16:11:12,SYSTEM,048.4.2.7,0,0032489441,NO,,ACTIVE,1.0,1.0,1D29D828-5C30-4E0F-AF79-0EB10AF1A204,,,1000.0,,,,,
M5693M18-3263-9NNR-945S-3433J6Z0X182,2025-05-26 16:11:12,SYSTEM,932.7.7.8,0,2025-05-26 16:11:25,SYSTEM,132.5.6.3,2,5652685159,YES,720078780,ACTIVE,12.0,2.0,CC1DB95A-D648-474B-AFC2-1FC6CF8C5C30,,,70.769231,NET,,,,
23T3T4C6-460U-7123-72AT-667Q8U2XN2S6,2025-05-26 16:11:12,SYSTEM,261.9.4.0,0,2025-05-26 16:11:24,SYSTEM,524.2.2.7,1,1535328310,YES,652141746,ACTIVE,1.0,1.0,CC1DB95A-D648-474B-AFC2-1FC6CF8C5C30,,,0.0,NET,,,,
R946H79N-M3D7-8367-34S1-E25805448023,2025-05-26 16:11:13,SYSTEM,399.2.3.8,0,2025-05-26 16:11:25,SYSTEM,274.7.7.2,2,0775334317,YES,524504500,ACTIVE,12.0,2.0,79911A39-ABF1-49A6-B50B-B95618F1DCAB,,,66.666667,NET,,,,
J36S24A7-6671-693P-BRFL-867483E89M9V,2025-05-26 16:11:13,SYSTEM,172.7.3.1,0,2025-05-26 16:11:24,SYSTEM,011.9.9.9,1,5534295213,YES,157663626,ACTIVE,1.0,1.0,79911A39-ABF1-49A6-B50B-B95618F1DCAB,,,0.0,NET,,,,
669T035G-4FN3-9S3C-C9F5-1763SUY93Q04,2025-05-26 16:11:14,SYSTEM,829.3.1.9,0,2025-05-26 16:11:14,SYSTEM,392.2.7.4,0,8563421008,YES,,ACTIVE,12.0,2.0,911DBFF7-561C-4CF4-B47C-E3AB6CF302E5,,,41.666667,NET,,,,
2083W0GT-9I33-0Z64-V8K3-L68N8N0Y3UA6,2025-05-26 16:11:14,SYSTEM,378.9.1.0,0,2025-05-26 16:11:14,SYSTEM,918.0.7.9,0,1582801623,YES,,ACTIVE,1.0,1.0,911DBFF7-561C-4CF4-B47C-E3AB6CF302E5,,,0.0,NET,,,,
U3SEC521-17P4-4739-4FX2-TM411333EHK6,2025-05-26 16:11:18,SYSTEM,488.1.7.6,0,2025-05-26 16:11:18,SYSTEM,865.0.8.1,0,6882357850,YES,,ACTIVE,1.0,1.0,96CEAAF4-25FF-438F-AEC2-D67C8367B400,,,0.0,NET,,,,
424350O3-L2Y0-394A-F4IO-49J45913Y86R,2025-05-26 16:11:18,SYSTEM,232.2.5.0,0,2025-05-26 16:11:18,SYSTEM,387.7.7.5,0,5887610364,YES,,ACTIVE,12.0,2.0,96CEAAF4-25FF-438F-AEC2-D67C8367B400,,,329.230769,NET,,,,
6X4RK2U0-5N45-4926-M3Z6-BA663S52JDL8,2025-05-26 16:16:12,SYSTEM,740.8.4.0,0,2025-05-26 16:16:12,SYSTEM,322.1.4.0,0,9554476886,YES,,ACTIVE,12.0,2.0,7087B027-EDFD-483F-80B0-FB92FDD430F8,,,41.666667,NET,,,,
